"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-01","2020","01","01","","-0.4","","-3.2","","-1.8","","19.8","","0.0","","","","","","","","","","27","","32",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-02","2020","01","02","","5.7","","-1.3","","2.2","","15.8","","0.0","","","","","","","","","","21","","33",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-03","2020","01","03","","6.1","","1.4","","3.8","","14.2","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-04","2020","01","04","","2.0","","-1.5","","0.3","","17.7","","0.0","","","","","","","","","","29","","32",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-05","2020","01","05","","0.5","","-3.0","","-1.3","","19.3","","0.0","","","","","","","","","","32","","32",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-06","2020","01","06","","1.1","","-3.5","","-1.2","","19.2","","0.0","","","","","","","","","","27","","37",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-07","2020","01","07","","3.1","","-8.4","","-2.7","","20.7","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-08","2020","01","08","","-0.8","","-10.2","","-5.5","","23.5","","0.0","","","","","","","","","","31","","47",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-09","2020","01","09","","1.9","","-14.7","","-6.4","","24.4","","0.0","","","","","","","","","","13","","36",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-10","2020","01","10","","7.0","","1.4","","4.2","","13.8","","0.0","","","","","","","","","","23","","34",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-11","2020","01","11","","11.7","","0.7","","6.2","","11.8","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-12","2020","01","12","","0.7","","-7.3","","-3.3","","21.3","","0.0","","","","","","","","","","34","","44",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-13","2020","01","13","","0.8","","-6.8","","-3.0","","21.0","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-14","2020","01","14","","2.6","","-1.6","","0.5","","17.5","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-15","2020","01","15","","3.2","","0.2","","1.7","","16.3","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-16","2020","01","16","","0.3","","-12.6","","-6.2","","24.2","","0.0","","","","","","","","","","33","","45",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-17","2020","01","17","","-9.3","","-15.5","","-12.4","","30.4","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-18","2020","01","18","","2.0","","-9.8","","-3.9","","21.9","","0.0","","","","","","","","","","12","","46",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-19","2020","01","19","","0.2","","-13.1","","-6.5","","24.5","","0.0","","","","","","","","","","33","","41",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-20","2020","01","20","","-5.3","","-16.6","","-11.0","","29.0","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-21","2020","01","21","","-2.6","","-15.0","","-8.8","","26.8","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-22","2020","01","22","","0.9","","-7.1","","-3.1","","21.1","","0.0","","","","","","","","","","22","","32",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-23","2020","01","23","","3.2","","-8.8","","-2.8","","20.8","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-24","2020","01","24","","3.7","","-2.4","","0.7","","17.3","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-25","2020","01","25","","2.3","","0.8","","1.6","","16.4","","0.0","","","","","","","","","","10","","39",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-26","2020","01","26","","3.2","","0.4","","1.8","","16.2","","0.0","","","","","","","","","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-27","2020","01","27","","1.0","","-0.9","","0.1","","17.9","","0.0","","","","","","","","","","33","","33",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-28","2020","01","28","","0.3","","-3.7","","-1.7","","19.7","","0.0","","","","","","","","","","7","","37",""
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-01-29","2020","01","29","","-3.7","","-9.8","","-6.8","","24.8","","0.0","","","","","","","","","","","","",""
